CCAP,IXL,Point,3101P,3102P,3103P,3104P,,,,,
CCAP,IXL,Signal,3101RS,3102RS,3103RS,3104RS,3105BS,3107BS,,,
CCAP,IXL,Axle Counter,3104T_3102T,3106T_3104T,3105T_3106T,3106T_3105T,3108T_3106T,3110T_3108T,3202T_3110T,3204T_3202T,3206T_3204T
CCAP,IXL,none,3206T_3302T,3205T_3301T,3205T_3203T,3203T_3201T,3201T_3109T,3109T_3107T,3107T_3105T,3105T_3103T,3103T_3101T
CCAP,IXL,EKT,EKT_8_SCR_CCAP_3101P_3102P_3103P_3104P,,,,,,,,
CCAP,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
CCAP,ATS,INDOOR EQUIPMENTS,ATS_SUP,ATS_TECH,ATS_VDU,ATS_CRM,,,,,
CCAP,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
CCAP,NONE,Indoor ,CABLE FRAME,EARTH CONNECTIVITY ,AXLE COUNTER,RELAY CUBICLE,BTN TYPE 3,PDU,LOOP BOX,SMIO,PDC
CCAP,NONE,Indoor ,SMPS,UNDER FALSE FLOOR ,,,,,,,
CCAP,ATC,Marker Board ,NSMB_DN_CCAP,NSMB_UP_CCAP,SRMB_DN,SRMB_UP,,,,,
AMSM,IXL,Signal,3201RS,3202RS,,,,,,,
AMSM,none,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
AMSM,DCS,DCS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
AMSM,ATS,ATS,ATS_SUP,,,,,,,,
AMSM,NONE,Indoor ,BTN TYPE 3,PDU,LOOP BOX,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,SMPS,CABLE FRAME,,
AMSM,ATC,Marker Board ,NSMB_DN_AMSM,NSMB_UP_AMSM,,,,,,,
TPNR,IXL,Point,3301P,3302P,3303P,3304P,3305P,3306P,3307P,3308P,3310P
TPNR,IXL,none,3312P,3313P,,,,,,,
TPNR,IXL,Signal,3302RS,3303RS,3304RS,3305RS,3306RS,3308RS,3309RS,3311RS,3313BS
TPNR,IXL,none,3315RS,3317RS,3319RS,3321RS,,,,,
TPNR,IXL,Axle Counter,3304T_3302T,3306T_3304T,3304T_3303T,3305T_3306T,3308T_3306T,3310T_3308T,3309T_3310T,3312T_3310T,3314T_3312T
TPNR,IXL,none,3314T_3402T,3315T_3310T,3317T_3315T,3316T_3304T,3317T_9898T,3318T_3316T,3320T_3318T,3320T_9899T,3303T_3301T
TPNR,IXL,none,3305T_3303T,3307T_3305T,3309T_3307T,3311T_3309T,3310T_3309T,3313T_3311T,3313T_3401T,3302T_3206T,3301T_3205T
TPNR,IXL,EKT,EKT_1_SCR_TPNR_3301P_3302P,EKT_2_SCR_TPNR_3304P_3313P,EKT_3_SCR_TPNR_3303P_3306P,,EKT_4_SCR_TPNR_3305P_3307P_3308P_3312P,,,EKT_5_SCR_TPNR_3310P,
TPNR,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
TPNR,IXL,CLC,,,,,,,,,
TPNR,ATS,INDOOR EQUIPMENTS,ATS_SUP,ATS_TECH,ATS_VDU,FEP_A server,FEP_B server,VDU server,SWITCH_A,SWITCH_B,ROUTER_A
TPNR,ATS,INDOOR EQUIPMENTS,ROUTER_B,OTHERS,,,,,,,
TPNR,ATC,TRACKSIDE ATC,ZC,,,,,,,,
TPNR,ATC,Marker Board ,NSMB_DN_TPNR,NSMB_UP_TPNR,SRMB_DN,SRMB_UP,STOP_DEPOT ENTRY,ATC END_DEPOT ENTRY,STOP_DEPOT EXIT,ATC BEGIN_DEPOT EXIT,
TPNR,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
TPNR,NONE,Indoor ,SMIO 1,SMIO 2,AXLE COUNTER 1,AXLE COUNTER 2,RELAY CUBICLE 1,RELAY CUBICLE 2,RELAY CUBICLE 3,RELAY CUBICLE 4,BTN TYPE 3
TPNR,NONE,Indoor ,FEP CABINET,ZC,PDU TRANSFORMER CABINET,PDU DISTRIBUTION BOX,CLC,LOOP BOX,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,SMPS
TPNR,NONE,Indoor ,CABLE FRAME,,,,,,,,
KRNM,IXL,Signal,3401RS,3402RS,,,,,,,
KRNM,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
KRNM,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
KRNM,ATS,INDOOR EQUIPMENTS,ATS_SUP,,,,,,,,
KRNM,NONE,Indoor ,BTN TYPE 3,PDU,RC_KRNM,LOOP BOX,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,,,
KRNM,ATC,Marker Board ,NSMB_DN_KRNM,NSMB_UP_KRNM,,,,,,,
SGNG,IXL,Signal,3501RS,3502RS,,,,,,,
SGNG,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
SGNG,DCS,DCS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
SGNG,ATS,ATS,ATS_SUP,,,,,,,,
SGNG,NONE,Indoor ,BTN TYPE 3,PDU,LOOP BOX,RELAY CUBICLE ,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,SMPS,CABLE FRAME,
SGNG,ATC,Marker Board ,NSMB_DN_SGNG,NSMB_UP_SGNG,,,,,,,
ALMB,IXL,Point,3601P,3602P,,,,,,,
ALMB,IXL,Signal,3601RS,3602RS,3603RS,3604RS,,,,,
ALMB,IXL,Axle Counter,3402T_3314T,3404T_3402T,3406T_3404T,3502T_3406T,3504T_3502T,3506T_3504T,3602T_3506T,3604T_3602T,3606T_3604T
ALMB,IXL,none,3604T_3605T,3606T_3702T,3401T_3313T,3403T_3401T,3405T_3403T,3501T_3405T,3503T_3501T,3505T_3503T,3601T_3505T
ALMB,IXL,none,3603T_3601T,3605T_3603T,3605T_3701T,,,,,,
ALMB,IXL,EKT,EKT_6_SCR_ALMB_3601P_3602P,,,,,,,,
ALMB,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
ALMB,ATS,INDOOR EQUIPMENTS,ATS_SUP,ATS_TECH,ATS_VDU,,,,,,
ALMB,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
ALMB,NONE,Indoor ,SMIO,AXLE COUNTER,RELAY CUBICLE 1,RELAY CUBICLE 2,BTN TYPE 3,PDU TRANSFORMER CABINET,LOOP BOX,EARTH CONNECTIVITY ,PDU DISTRIBUTION BOX
ALMB,NONE,Indoor ,SMPS,UNDER FALSE FLOOR ,CABLE FRAME,,,,,,
ALMB,ATC,Marker Board ,NSMB_DN_ALMB,NSMB_UP_ALMB,SRMB_DN,,,,,,
ABST,IXL,Signal,3701RS,3702RS,,,,,,,
ABST,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
ABST,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
ABST,ATS,INDOOR EQUIPMENTS,ATS_SUP,,,,,,,,
ABST,DCS,Indoor ,BTN TYPE 3,PDU,LOOP BOX,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,RC_ABST,,,
ABST,ATC,Marker Board ,NSMB_DN_ABST,NSMB_UP_ABST,,,,,,,
MWYA,IXL,Signal,3801RS,3802RS,,,,,,,
MWYA,IXL,Axle Counter,3702T_3606T,3704T_3702T,3706T_3704T,3708T_3706T,3802T_3708T,3804T_3802T,3806T_3804T,3806T_3902T,3701T_3605T
MWYA,IXL,,3703T_3701T,3705T_3703T,3707T_3705T,3801T_3707T,3803T_3801T,3805T_3803T,3805T_3901T,,
MWYA,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
MWYA,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
MWYA,ATS,INDOOR EQUIPMENTS,ATS_SUP,,,,,,,,
MWYA,NONE,Indoor ,SMIO,AXLE COUNTER,RELAY CUBICLE 1,RELAY CUBICLE 2,BTN TYPE 3,PDU TRANSFORMER CABINET,LOOP BOX,EARTH CONNECTIVITY ,PDU DISTRIBUTION BOX
MWYA,NONE,Indoor ,SMPS,UNDER FALSE FLOOR ,CABLE FRAME,,,,,,
MWYA,ATC,Marker Board ,NSMB_DN_MWYA,NSMB_UP_MWYA,,,,,,,
DGPI,IXL,Signal,3901RS,3902RS,,,,,,,
DGPI,NONE,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
DGPI,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
DGPI,ATS,INDOOR EQUIPMENTS,ATS_SUP,,,,,,,,
DGPI,NONE,Indoor ,BTN TYPE 3,PDU,RC_03_DGPI,LOOP BOX,EARTH CONNECTIVITY ,UNDER FALSE FLOOR ,,,
DGPI,ATC,Marker Board ,NSMB_DN_DGPI,NSMB_UP_DGPI,,,,,,,
CHBG,IXL,Point,4001P,4002P,,,,,,,
CHBG,IXL,Signal,4001RS,4002RS,4003RS,4004RS,4006RS,4008RS,,,
CHBG,IXL,Axle Counter,3902T_3806T,3904T_3902T,3906T_3904T,3908T_3906T,4002T_3908T,4004T_4002T,4003T_4002T,4006T_4004T,4008T_4006T
CHBG,IXL,NONE,4010T_4008T,3901T_3805T,3903T_3901T,3905T_3903T,4001T_3905T,4003T_4001T,4005T_4003T,4007T_4005T,4009T_4007T
CHBG,IXL,NONE,4011T_4009T,4010T_4102T,4011T_4101T,,,,,,
CHBG,IXL,EKT,EKT_7_SCR_CHBG_4001P_4002P,,,,,,,,
CHBG,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
CHBG,ATS,INDOOR EQUIPMENTS,ATS_SUP,ATS_TECH,ATS_VDU,,,,,,
CHBG,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
CHBG,NONE,Indoor ,SMIO,AXLE COUNTER,RELAY CUBICLE 1,RELAY CUBICLE 2,BTN TYPE 3,PDU TRANSFORMER CABINET,LOOP BOX,EARTH CONNECTIVITY ,PDU DISTRIBUTION BOX
CHBG,NONE,Indoor ,SMPS,UNDER FALSE FLOOR ,CABLE FRAME,,,,,,
CHBG,ATC,Marker Board ,NSMB_DN_CHBG,NSMB_UP_CHBG,SRMB_DN,,,,,,
HSGJ,IXL,Signal,4101RS,4102RS,4103RS,,,,,,
HSGJ,IXL,ESP,PF_DN_ESP_01,PF_UP_ESP_02,SCR_ESP_03,,,,,,
HSGJ,IXL,CLC,,,,,,,,,
HSGJ,ATS,INDOOR EQUIPMENTS,ATS_SUP,ATS_VDU,FEP_A server,FEP_B server,VDU server,SWITCH_A,SWITCH_B,ROUTER_A,ROUTER_B
HSGJ,,,OTHERS,,,,,,,,
HSGJ,ATC,TRACKSIDE ATC,ZC,,,,,,,,
HSGJ,,Marker Board ,NSMB_DN_HSGJ,NSMB_UP_HSGJ,,,,,,,
HSGJ,DCS,INDOOR EQUIPMENTS,BTN TYPE 3,CCTV WORKSTATION,,,,,,,
